county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Ct,CT,226,CT,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Cv,CV,26,CV,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Dr,DR,2881,DR,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Grv,GRV,2,GRV,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Hl,HL,2,HL,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Holw,HOLW,7,HOLW,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Hwy,HWY,94,HWY,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Ln,LN,1172,LN,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Lndg,LNDG,1,LNDG,resolved
Davis,davis,C:\Mac\Home\Documents\working\utrans\county_obtained\Davis\DavisCounty_20260722.gdb\DavisRoads,POSTTYPE,RoadNameType,Loop,LOOP,52,LOOP,resolved
